Drug_ID,Drug,Y
"N,N-dipropyl(propylsulfanyl)formamide",CCCSC(=O)N(CCC)CCC,-4.13
nitromethane,C[N+](=O)[O-],-4.02
methoxyethane,CCOC,-2.1
"2-chloro-1,1,1-trimethoxy-ethane",COC(CCl)(OC)OC,-4.59
isobutane,CC(C)C,2.3
3-methylbutanoic acid,CC(C)CC(=O)O,-6.09
1-chloropropane,CCCCl,-0.33
1-propylsulfanylpropane,CCCSCCC,-1.28
hexan-3-ol,CCC[C@@H](O)CC,-4.06
acetonitrile,CC#N,-3.88
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",FC(F)O[C@H](Cl)C(F)(F)F,0.1
"hexa-1,5-diene",C=CCCC=C,1.01
methyl acetate,COC(C)=O,-3.13
propanethiol,CCCS,-1.1
heptan-2-one,CCCCCC(C)=O,-3.04
ethyl hexanoate,CCCCCC(=O)OCC,-2.23
1-methoxypropane,CCCOC,-1.66
N-methylmethanamine,CNC,-4.29
"1,1,2,3,3,3-hexafluoroprop-1-ene",FC(F)=C(F)C(F)(F)F,2.93
iodomethane,CI,-0.89
"(E)-1,2-dichloroethylene",Cl/C=C/Cl,-0.78
n-pentane,CCCCC,2.3
butanenitrile,CCCC#N,-3.64
"2-bromo-1,1,1,2-tetrafluoro-ethane",F[C@H](Br)C(F)(F)F,0.5
[(2S)-butan-2-yl] nitrate,CC[C@H](C)O[N+](=O)[O-],-1.82
"2,3-dimethylpentane",CC[C@@H](C)C(C)C,2.52
4-methylpentan-2-ol,CC(C)C[C@@H](C)O,-3.73
"1,1-dichloroethylene",C=C(Cl)Cl,0.25
2-methylpropan-1-ol,CC(C)CO,-4.5
propyl propanoate,CCCOC(=O)CC,-2.44
hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64
2-chloro-2-methyl-propane,CC(C)(C)Cl,1.09
isoprene,C=CC(=C)C,0.68
ethylene glycol,OCCO,-9.3
propyl formate,CCCOC=O,-2.48
hexanoic acid,CCCCCC(=O)O,-6.21
diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71
methyl 2-chloroacetate,COC(=O)CCl,-4.0
butanal,CCCC=O,-3.18
"1,1,2-trichloroethylene",ClC=C(Cl)Cl,-0.44
"N,N-diethylethanamine",CCN(CC)CC,-3.22
3-chloroprop-1-ene,C=CCCl,-0.57
formaldehyde,C=O,-2.75
"1,1,1-trimethoxyethane",COC(C)(OC)OC,-4.42
2-methoxypropane,COC(C)C,-2.01
"1,1,2-trichloroethane",ClCC(Cl)Cl,-1.99
isopropyl acetate,CC(=O)OC(C)C,-2.64
"2,3-dimethylbuta-1,3-diene",C=C(C)C(=C)C,0.4
hex-1-ene,C=CCCCC,1.58
hydrogen sulfide,S,-0.7
ethoxyethane,CCOCC,-1.59
hexyl acetate,CCCCCCOC(C)=O,-2.26
pentanoic acid,CCCCC(=O)O,-6.16
bromoethane,CCBr,-0.74
hexan-1-ol,CCCCCCO,-4.4
hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.66
bromoform,BrC(Br)Br,-2.13
2-propoxyethanol,CCCOCCO,-6.4
butyric acid,CCCC(=O)O,-6.35
"1,1,1-trifluoro-2,2,2-trimethoxyethane",COC(OC)(OC)C(F)(F)F,-0.8
bromo-trifluoro-methane,FC(F)(F)Br,1.79
butan-1-ol,CCCCO,-4.72
ethyl acetate,CCOC(C)=O,-2.94
isobutyl 2-methylpropanoate,CC(C)COC(=O)C(C)C,-1.69
2-methoxy-2-methyl-propane,COC(C)(C)C,-2.21
pentan-3-one,CCC(=O)CC,-3.41
"methyl 2,2,2-trifluoroacetate",COC(=O)C(F)(F)F,-1.1
"3,3-dimethylbutan-2-one",CC(=O)C(C)(C)C,-3.11
methyl methanesulfonate,COS(C)(=O)=O,-4.87
N-isopropylpropan-2-amine,CC(C)NC(C)C,-3.22
heptan-1-amine,CCCCCCCN,-3.79
propane,CCC,2.0
dichloromethane,ClCCl,-1.31
"methyl 2,2-dimethylpropanoate",COC(=O)C(C)(C)C,-2.4
trichloro(nitro)methane,O=[N+]([O-])C(Cl)(Cl)Cl,-1.45
nonan-2-one,CCCCCCCC(C)=O,-2.49
butan-1-amine,CCCCN,-4.24
ethyl butanoate,CCCC(=O)OCC,-2.49
1-iodohexane,CCCCCCI,0.08
"1,1,2-trichloro-1,2,2-trifluoro-ethane",FC(F)(Cl)C(F)(Cl)Cl,1.77
trimethyl phosphate,COP(=O)(OC)OC,-8.7
isohexane,CCCC(C)C,2.51
"2-chloro-1,1,1-trifluoro-ethane",FC(F)(F)CCl,0.06
ethylene,C=C,1.28
1-iodopentane,CCCCCI,-0.14
trimethoxymethane,COC(OC)OC,-4.42
decane,CCCCCCCCCC,3.16
"1,2-dinitroxypropane",C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
prop-1-ene,C=CC,1.32
"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl,-12.74
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCC/C(C)=C/CO,-4.45
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,2.56
3-methylbutan-2-one,CC(=O)C(C)C,-3.24
N-butylbutan-1-amine,CCCCNCCCC,-3.24
butane-1-thiol,CCCCS,-0.99
chloro-difluoro-methane,FC(F)Cl,-0.5
prop-1-yne,C#CC,-0.48
nonanal,CCCCCCCCC=O,-2.07
propionic acid,CCC(=O)O,-6.46
chloroform,ClC(Cl)Cl,-1.08
methane,C,2.0
1-chlorobutane,CCCCCl,-0.16
isobutyl formate,CC(C)COC=O,-2.22
"1,2-diethoxyethane",CCOCCOCC,-3.54
pentyl propanoate,CCCCCOC(=O)CC,-2.11
2-methylbut-2-ene,CC=C(C)C,1.31
"1,2-dichloroethane",ClCCCl,-1.79
"3,3-dimethylpentane",CCC(C)(C)CC,2.56
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",COC(F)(F)C(Cl)Cl,-1.12
2-ethoxyethyl acetate,CCOCCOC(C)=O,-5.31
2-methylbutan-2-ol,CCC(C)(C)O,-4.43
dimethoxymethane,COCOC,-2.93
pentan-3-ol,CCC(O)CC,-4.35
undecan-2-one,CCCCCCCCCC(C)=O,-2.15
1-bromo-2-chloro-ethane,ClCCBr,-1.95
iodoethane,CCI,-0.74
2-bromopropane,CC(C)Br,-0.48
methylsulfonylmethane,CS(C)(=O)=O,-10.08
pent-2-ene,C/C=C\CC,1.31
ethane,CC,1.83
ethylsulfanylethane,CCSCC,-1.46
chloro-fluoro-methane,FCCl,-0.77
pent-1-ene,C=CCCC,1.68
hept-1-yne,C#CCCCCC,0.6
decan-2-one,CCCCCCCCC(C)=O,-2.34
pentanal,CCCCC=O,-3.03
1-nitrobutane,CCCC[N+](=O)[O-],-3.09
1-chloro-2-(2-chloroethoxy)ethane,ClCCOCCCl,-4.23
1-nitroethane,CC[N+](=O)[O-],-3.71
bromomethane,CBr,-0.82
methanol,CO,-5.1
heptanal,CCCCCCC=O,-2.67
octanal,CCCCCCCC=O,-2.29
fluoromethane,CF,-0.22
methylsulfinylmethane,CS(C)=O,-9.28
1-bromobutane,CCCCBr,-0.4
nonan-1-ol,CCCCCCCCCO,-3.88
"1,1,2,2-tetrachloroethylene",ClC(Cl)=C(Cl)Cl,0.1
2-bromo-2-methyl-propane,CC(C)(C)Br,0.84
"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.73
acetamide,CC(N)=O,-9.71
dimethyl sulfate,COS(=O)(=O)OC,-5.1
"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl,-2.37
1-bromohexane,CCCCCCBr,0.18
1-bromoheptane,CCCCCCCBr,0.34
"3,3,3-trimethoxypropanenitrile",COC(CC#N)(OC)OC,-6.4
2-chlorobutane,CC[C@H](C)Cl,0.0
diethyl propanedioate,CCOC(=O)CC(=O)OCC,-6.0
methylsulfanylmethane,CSC,-1.61
methyl pentanoate,CCCCC(=O)OC,-2.56
2-methylpent-1-ene,C=C(C)CCC,1.47
chloroethylene,C=CCl,-0.59
heptan-4-one,CCCC(=O)CCC,-2.92
propyl butanoate,CCCOC(=O)CCC,-2.28
2-ethoxyethanol,CCOCCO,-6.69
3-methylpentane,CCC(C)CC,2.51
1-nitropropane,CCC[N+](=O)[O-],-3.34
ethanol,CCO,-5.0
ethyl formate,CCOC=O,-2.56
octan-1-ol,CCCCCCCCO,-4.09
but-1-ene,C=CCC,1.38
carbon tetrachloride,ClC(Cl)(Cl)Cl,0.08
methyldisulfanylmethane,CSSC,-1.83
"2,3-diacetoxypropyl acetate",CC(=O)OCC(COC(C)=O)OC(C)=O,-8.84
methoxymethane,COC,-1.91
hexane,CCCCCC,2.48
"1,2-dibromoethane",BrCCBr,-2.33
"1,1,1,2,2-pentachloroethane",ClC(Cl)C(Cl)(Cl)Cl,-1.23
propyl acetate,CCCOC(C)=O,-2.79
ethanethiol,CCS,-1.14
ethyldisulfanylethane,CCSSCC,-1.64
pentan-2-one,CCCC(C)=O,-3.52
acetic acid,CC(=O)O,-6.69
acetaldehyde,CC=O,-3.5
hex-1-yne,C#CCCCC,0.29
propanenitrile,CCC#N,-3.84
butyl acetate,CCCCOC(C)=O,-2.64
aldicarb,CNC(=O)O/N=C\C(C)(C)SC,-9.84
2-methylpropanal,CC(C)C=O,-2.86
propionamide,CCC(N)=O,-9.4
1-bromopropane,CCCBr,-0.56
2-chloropropane,CC(C)Cl,-0.25
"1,3-dichloropropane",ClCCCCl,-1.89
"1,2-dichloropropane",C[C@H](Cl)CCl,-1.27
diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC,-4.37
acetone,CC(C)=O,-3.8
2-methylprop-1-ene,C=C(C)C,1.16
1-nitropentane,CCCCC[N+](=O)[O-],-2.82
(2E)-hex-2-enal,CCC/C=C/C=O,-3.68
octane,CCCCCCCC,2.88
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",C=C[C@@](C)(CCC=C(C)C)OC(C)=O,-2.49
"1,3-bis-(nitrooxy)butane",C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
2-isopropoxypropane,CC(C)OC(C)C,-0.53
2-methylhexane,CCCCC(C)C,2.93
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",FC(F)(F)[C@H](Cl)Br,-0.11
1-butoxybutane,CCCCOCCCC,-0.83
"2,4-dimethylpentane",CC(C)CC(C)C,2.83
but-2-enal,C/C=C/C=O,-4.22
3-methylhexane,CCC[C@H](C)CC,2.71
"1,2-dimethoxyethane",COCCOC,-4.84
isopentyl acetate,CC(=O)OCCC(C)C,-2.21
1-chlorohexane,CCCCCCCl,0.0
4-methylpentan-2-one,CC(=O)CC(C)C,-3.05
hexanal,CCCCCC=O,-2.81
"1,1-diethoxyethane",CCOC(C)OCC,-3.28
methanethiol,CS,-1.2
prop-2-en-1-ol,C=CCO,-5.03
methylsulfanylethane,CCSC,-1.5
pentyl acetate,CCCCCOC(C)=O,-2.51
chloroethane,CCCl,-0.63
3-methylbutan-1-ol,CC(C)CCO,-4.42
pentan-1-amine,CCCCCN,-4.09
"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,2.93
2-butoxyethanol,CCCCOCCO,-6.25
2-nitropropane,CC(C)[N+](=O)[O-],-3.13
glycerol,OCC(O)CO,-13.43
1-iodopropane,CCCI,-0.53
2-methoxyethanamine,COCCN,-6.55
"1,1,1,2-tetrachloroethane",ClCC(Cl)(Cl)Cl,-1.43
methyl propanoate,CCC(=O)OC,-2.93
2-methoxyethanol,COCCO,-6.619999999999999
methyl formate,COC=O,-2.78
"1,4-dichlorobutane",ClCCCCCl,-2.32
nitroxyacetone,CC(=O)CO[N+](=O)[O-],-5.99
methyl hexanoate,CCCCCC(=O)OC,-2.49
"1,1,1-trifluoropropan-2-ol",C[C@H](O)C(F)(F)F,-4.16
1-bromo-pentane,CCCCCBr,-0.1
oct-1-ene,C=CCCCCCC,1.92
propan-2-ol,CC(C)O,-4.74
hexan-1-amine,CCCCCCN,-3.95
3-nitrooxypropyl nitrate,O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8
pentan-1-ol,CCCCCO,-4.57
pentan-2-ol,CCC[C@@H](C)O,-4.39
3-methylheptane,CCCC[C@@H](C)CC,2.97
diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate,CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,-8.15
hept-2-ene,C/C=C/CCCC,1.68
1-propoxypropane,CCCOCCC,-1.16
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,2.89
nonan-5-one,CCCCC(=O)CCCC,-2.64
pebulate,CCCCN(CC)C(=O)SCCC,-3.64
hept-1-ene,C=CCCCCC,1.66
isopropyl formate,CC(C)OC=O,-2.02
1-acetoxyethyl acetate,CC(=O)OC(C)OC(C)=O,-4.97
isopentane,CCC(C)C,2.38
butyl nitrate,CCCCO[N+](=O)[O-],-2.09
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,-0.19
1-iodoheptane,CCCCCCCI,0.27
1-chloro-pentane,CCCCCCl,-0.1
isobutyl acetate,CC(=O)OCC(C)C,-2.36
"2,2-dimethylbutane",CCC(C)(C)C,2.51
methyl 2-cyanoacetate,COC(=O)CC#N,-6.72
methanamine,CN,-4.55
"(Z)-1,2-dichloroethylene",Cl/C=C\Cl,-1.17
hexan-2-one,CCCCC(C)=O,-3.28
"1,2-dinitroxyethane",O=[N+]([O-])OCCO[N+](=O)[O-],-5.73
triethylphosphate,CCOP(=O)(OCC)OCC,-7.5
"2,2,2-trifluoroethanol",OCC(F)(F)F,-4.31
1-butoxy-2-propanol,CCCCOC[C@H](C)O,-5.73
propan-1-ol,CCCO,-4.85
neopentane,CC(C)(C)C,2.51
pent-1-yne,C#CCCC,0.01
1-iodobutane,CCCCI,-0.25
2-iodopropane,CC(C)I,-0.46
111-trifluoropropan-2-ol,C[C@@H](O)C(F)(F)F,-4.2
propan-1-amine,CCCN,-4.39
oct-2-enal,CCCCC/C=C/C=O,-3.43
oct-1-yne,C#CCCCCCC,0.71
methyl octanoate,CCCCCCCC(=O)OC,-2.04
1-chloroheptane,CCCCCCCCl,0.29
sulfolane,[O-][S+2]1([O-])CCCC1,-8.61
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-3.04
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-4.4
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-2.28
"1,4-dichloro-2-phenyl-benzene",Clc1ccc(Cl)c(-c2ccccc2)c1,-2.46
"1,2,3,4-tetrachloro-5-phenyl-benzene",Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-3.48
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,-3.61
diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-9.4
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-4.61
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,-3.17
1-chloro-2-phenyl-benzene,Clc1ccccc1-c1ccccc1,-2.69
biphenyl,c1ccc(-c2ccccc2)cc1,-2.7
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,-4.38
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-2.98
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-1.96
flurbiprofen,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-8.42
"1,3,5-trichloro-2-phenyl-benzene",Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-2.16
"3,5,5-trimethylcyclohex-2-en-1-one",CC1=CC(=O)CC(C)(C)C1,-5.18
6-isopropyl-3-methyl-1-cyclohex-2-enone,CC1=CC(=O)[C@H](C(C)C)CC1,-4.51
propylcyclopentane,CCCC1CCCC1,2.13
cyclopentane,C1CCCC1,1.2
methylcyclopentane,CC1CCCC1,1.59
pentylcyclopentane,CCCCCC1CCCC1,2.55
cyclopentanol,OC1CCCC1,-5.49
carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-9.61
1-methylpyrrole,Cn1cccc1,-2.89
pyrrole,c1cc[nH]c1,-4.78
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-4.52
captan,O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl,-9.01
chlordane,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](Cl)C[C@@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-3.44
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",COP(=S)(OC)SCn1nnc2ccccc2c1=O,-10.03
"1,3-dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-2.47
naphthalene,c1ccc2ccccc2c1,-2.4
naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-10.21
naphthalen-1-amine,Nc1cccc2ccccc12,-7.28
1-ethylnaphthalene,CCc1cccc2ccccc12,-2.4
naphthalen-2-ol,Oc1ccc2ccccc2c1,-8.11
"2,6-dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1,-2.63
naphthalen-1-yl N-methylcarbamate,CNC(=O)Oc1cccc2ccccc12,-9.45
"1,4-dimethylnaphthalene",Cc1ccc(C)c2ccccc12,-2.82
naphthalen-2-amine,Nc1ccc2ccccc2c1,-7.47
"2,3-dimethylnaphthalene",Cc1cc2ccccc2cc1C,-2.78
naphthalen-1-ol,Oc1cccc2ccccc12,-7.67
1-methylnaphthalene,Cc1cccc2ccccc12,-2.44
cyclopentanone,O=C1CCCC1,-4.7
imidazole,c1c[nH]cn1,-9.63
4-methyl-1H-imidazole,Cc1c[nH]cn1,-10.27
1-methylimidazole,Cn1ccnc1,-8.41
piperidine,C1CCNCC1,-5.11
1-methylpiperidine,CN1CCCCC1,-3.88
simazine,CCNc1nc(Cl)nc(NCC)n1,-10.22
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",CCNc1nc(NC(C)C)nc(SC)n1,-7.65
terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,-6.68
acenaphthene,c1cc2c3c(cccc3c1)CC2,-3.15
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-16.43
morpholine,C1COCCN1,-7.17
4-methylmorpholine,CN1CCOCC1,-6.32
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,-7.43
9H-fluorene,c1ccc2c(c1)Cc1ccccc1-2,-3.35
indane,c1ccc2c(c1)CCC2,-1.46
1-pyrrolidin-1-ylethanone,CC(=O)N1CCCC1,-9.8
pyrrolidine,C1CCNC1,-5.48
profluralin,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-2.45
cycloheptanol,OC1CCCCCC1,-5.48
endosulfan alpha,O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-4.23
"1,2,4-trichlorodibenzo-p-dioxin",Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,-4.05
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-3.71
"2,7-dichlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,-3.67
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.15
dibenzo-p-dioxin,c1ccc2c(c1)Oc1ccccc1O2,-3.15
"2,3,7,8-tetrachlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-3.37
"1,2,3,4-tetrachlorodibenzo-p-dioxin",Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,-3.81
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.53
"1,2,3,7-tetrachlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-3.84
"2,3-dichlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1ccccc1O2,-3.56
2-chlorodibenzo-p-dioxin,Clc1ccc2c(c1)Oc1ccccc1O2,-3.1
1-chlorodibenzo-p-dioxin,Clc1cccc2c1Oc1ccccc1O2,-3.52
quinoline,c1ccc2ncccc2c1,-5.72
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-12.64
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",CC(C)[C@@H]1CC[C@@H](C)CC1=O,-2.53
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,-3.75
cyclohexanone,O=C1CCCCC1,-4.91
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-25.47
tetrahydropyran,C1CCOCC1,-3.12
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-20.52
phenanthrene,c1ccc2c(c1)ccc1ccccc12,-3.88
2-methylpyrazine,Cc1cnccn1,-5.51
2-ethylpyrazine,CCc1cnccn1,-5.45
2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.04
diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-6.48
pirimor,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-9.41
cyanuric acid,O=c1[nH]c(=O)[nH]c(=O)[nH]1,-18.06
[2-benzhydryloxyethyl]-dimethyl-amine,CN(C)CCOC(c1ccccc1)c1ccccc1,-9.34
cyclohexene,C1=CCCCC1,0.14
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,-4.44
4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,C=C(C)[C@@H]1CC=C(C=O)CC1,-4.09
1-methylcyclohexene,CC1=CCCCC1,0.67
dialifor,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
phthalimide,O=C1NC(=O)c2ccccc21,-9.61
"2-amino-9,10-anthraquinone",Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-11.53
"1-(2-hydroxyethylamino)-9,10-anthraquinone",O=C1c2ccccc2C(=O)c2c(NCCO)cccc21,-14.21
"1-amino-4-hydroxy-9,10-anthracenedione",Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-9.53
"1,4-diamino-9,10-anthracenedione",Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,-11.85
"1-amino-9,10-anthracenedione",Nc1cccc2c1C(=O)c1ccccc1C2=O,-9.44
anthracene,c1ccc2cc3ccccc3cc2c1,-3.95
"1,1-diphenylethene",C=C(c1ccccc1)c1ccccc1,-2.78
2-methylthiophene,Cc1cccs1,-1.38
thiophene,c1ccsc1,-1.4
heptachlor,ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-2.55
endrin,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-4.82
"1,4-dimethylpiperazine",CN1CCN(C)CC1,-7.58
1-methylpiperazine,CN1CCNCC1,-7.77
piperazine,C1CNCCN1,-7.4
ketoprofen,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78
"1,4-dioxane",C1COCCO1,-5.06
