Drug_ID	Drug	Y
"(1s,2r,19r,22r,34s,37r,40r,52s)-5,32-dichloro-64-[(2s,3r,4r,5s,6r)-4,5-dihydroxy-6-(hydroxymethyl)-3-(10-methylundecanoylamino)oxan-2-yl]oxy-n-[3-(dimethylamino)propyl]-2,26,31,44,49-pentahydroxy-22-(methylamino)-21,35,38,54,56,59-hexaoxo-47-[(2r,3s,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7,13,28-trioxa-20,36,39,53,55,58-hexazaundecacyclo[38.14.2.23,6.214,17.219,34.18,12.123,27.129,33.141,45.010,37.046,51]hexahexaconta-3,5,8,10,12(64),14(63),15,17(62),23(61),24,26,29(60),30,32,41(57),42,44,46(51),47,49,65-henicosaene-52-carboxamide"	"CC(C)CCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@@H](C7=C(C(=CC(=C7)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]1C2=C(C(=CC(=C2)OC2=C(C=CC(=C2)[C@H](C(=O)N[C@H](CC2=CC=C(O3)C=C2)C(=O)N1)NC)O)O)Cl)O)C(=O)NCCCN(C)C)O)Cl)CO)O)O"	-1.48
"1-cyano-2-methyl-3-[2-[(4-methyl-4h-imidazol-5-yl)methylsulfanyl]ethyl]guanidine"	"CC1C(=NC=N1)CSCCNC(=NC)NC#N"	-1.42
"2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-3h-imidazo[5,1-f][1,2,4]triazin-4-one"	"CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C"	-1.4
"1h-imidazo[1,2-a]pyridin-4-ium-2-ylmethanamine"	"C1=CC=[N+]2C=C(NC2=C1)CN"	-1.4
"4-aminobenzoic acid"	"C1=CC(=CC=C1C(=O)O)N"	-1.4
"1,3-dimethyl-n-(2-methylphenyl)imidazolidin-2-imine"	"CC1=CC=CC=C1N=C2N(CCN2C)C"	-1.39
"5,7-dichloro-4-oxo-1h-quinoline-2-carboxylic acid"	"C1=C(C=C(C2=C1NC(=CC2=O)C(=O)O)Cl)Cl"	-1.33
"5-[2-ethoxy-5-(4-methylpiperazin-1-yl)sulfonylphenyl]-1-methyl-3-propyl-6h-pyrazolo[4,3-d]pyrimidin-7-one"	"CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C"	-1.3
"n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine"	"CC1=CC(=C(C=C1)N=C2N(CCN2C)C)C"	-1.3
"4-[2-[[7-amino-2-(furan-2-yl)-[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl]amino]ethyl]phenol"	"C1=COC(=C1)C2=NN3C(=NC(=NC3=N2)NCCC4=CC=C(C=C4)O)N"	-1.3
"9-[(2s,5r)-5-(hydroxymethyl)oxolan-2-yl]-1h-purin-6-one"	"C1C[C@H](O[C@H]1CO)N2C=NC3=C2N=CNC3=O"	-1.3
"n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide"	"CN=C(C[N+](=O)[O-])NCCCSC1=CC=C(O1)CN(C)C"	-1.23
"[2-acetyloxy-4-[(e)-3-oxo-3-(2-phenylethylamino)prop-1-enyl]phenyl] acetate"	"CC(=O)OC1=C(C=C(C=C1)/C=C/C(=O)NCCC2=CC=CC=C2)OC(=O)C"	-1.17
"(e)-3-[6-[(e)-1-(4-methylphenyl)-3-pyrrolidin-1-ylprop-1-enyl]pyridin-2-yl]prop-2-enoic acid"	"CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O"	-1.14
"4-[[3-[2-(dimethylamino)ethyl]-1h-indol-5-yl]methyl]-1,3-oxazolidin-2-one"	"CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3"	-1.01
"6'-butan-2-yl-21,24-dihydroxy-12-[5-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one"	"CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C"	-1.0
"2-(1,3-benzodioxol-5-yl)-6-methyl-3,6,17-triazatetracyclo[8.7.0.03,8.011,16]heptadeca-1(10),11,13,15-tetraene-4,7-dione"	"CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36"	-1.0
"methyl (1s,6r)-6-methyl-4-(3-nitroanilino)-2-oxocyclohex-3-ene-1-carboxylate"	"C[C@@H]1CC(=CC(=O)[C@H]1C(=O)OC)NC2=CC(=CC=C2)[N+](=O)[O-]"	-1.0
"(e)-3-[3,4-bis(2-hydroxyethoxy)phenyl]-n-[2-(2-methylindol-1-yl)ethyl]prop-2-enamide"	"CC1=CC2=CC=CC=C2N1CCNC(=O)/C=C/C3=CC(=C(C=C3)OCCO)OCCO"	-1.0
"6-(4-ethylsulfonylphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol"	"CCS(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5"	-0.92
"(2r)-n-[1-[(6-aminopyridin-2-yl)methyl]piperidin-4-yl]-2-[(1r)-3,3-difluorocyclopentyl]-2-hydroxy-2-phenylacetamide"	"C1CC(C[C@@H]1[C@@](C2=CC=CC=C2)(C(=O)NC3CCN(CC3)CC4=NC(=CC=C4)N)O)(F)F"	-0.89
"benzyl n-[[4-[(2-aminophenyl)carbamoyl]phenyl]methyl]carbamate"	"C1=CC=C(C=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N"	-0.85
"6-(4-methylsulfonylphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol"	"CS(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5"	-0.81
"(2z)-3-methoxy-5-methyl-4-oxohexa-2,5-dienoic acid"	"CC(=C)C(=O)/C(=C/C(=O)O)/OC"	-0.8
"n-(2-ethyltetrazol-5-yl)-9h-xanthene-9-carboxamide"	"CCN1N=C(N=N1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24"	-0.8
"2-[[5-chloro-2-[4-[(4-methylpiperazin-1-yl)methyl]anilino]pyrimidin-4-yl]amino]-n,n-dimethylbenzenesulfonamide"	"CN1CCN(CC1)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)N(C)C)Cl"	-0.8
"30-ethyl-33-[(e)-1-hydroxy-2-methylpent-3-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-3,6,9,18,24-pentakis(2-methylpropyl)-21-propan-2-yl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone"	"CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)/C=C/C)O)C)CC(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C"	-0.78
"(3s,6s,9s,12r,15s,18s,21s,24s,30s,33s)-30-ethyl-33-[(e,1r,2r)-1-hydroxy-2-methylpent-3-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-3,6,9,18,24-pentakis(2-methylpropyl)-21-propan-2-yl-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone"	"CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)/C=C/C)O)C)CC(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C"	-0.78
"30-ethyl-33-(1-hydroxy-2-methylhex-4-enyl)-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone"	"CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C"	-0.78
"6-(4-hydroxyphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol"	"C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O"	-0.77
"[[2-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl]amino]azaniumylideneazanide"	"CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N[NH+]=[N-]"	-0.72
"1-[(2s,4s,5r)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione"	"CC1=CN(C(=O)NC1=O)[C@@H]2C[C@@H]([C@@H](O2)CO)N=[N+]=[N-]"	-0.72
"30-ethyl-33-[(e)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone"	"CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C"	-0.7
"1,3-thiazol-5-ylmethyl n-[3-hydroxy-5-[[3-methyl-2-[[methyl-[(2-propan-2-yl-1,3-thiazol-4-yl)methyl]carbamoyl]amino]butanoyl]amino]-1,6-diphenylhexan-2-yl]carbamate"	"CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O"	-0.7
"(2r)-2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile"	"CC(C)[C@@](CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC"	-0.7
"2-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]triazole-4-carboxamide"	"C1=NN(N=C1C(=O)N)C2C(C(C(O2)CO)O)O"	-0.67
"benzene-1,2,4,5-tetramine;tetrahydrochloride"	"C1=C(C(=CC(=C1N)N)N)N.Cl.Cl.Cl.Cl"	-0.67
"(4e)-4-[[3-[(3-methylphenyl)methoxy]phenyl]methylidene]-1-phenylpyrazolidine-3,5-dione"	"CC1=CC(=CC=C1)COC2=CC=CC(=C2)/C=C/3\C(=O)NN(C3=O)C4=CC=CC=C4"	-0.66
"9-[3,5-bis(trifluoromethyl)benzoyl]-5-phenyl-1-oxa-3,9-diazaspiro[5.5]undecan-2-one"	"C1CN(CCC12C(CNC(=O)O2)C3=CC=CC=C3)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F"	-0.66
"2-butan-2-yl-4-[4-[4-[4-[[2-(2,4-dichlorophenyl)-2-(1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]phenyl]-1,2,4-triazol-3-one"	"CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl"	-0.64
"(4as,7r,7ar,12bs)-9-methoxy-3-methyl-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7-diol"	"CN1CC[C@]23[C@@H]4[C@@H](CC[C@]2(C1CC5=C3C(=C(C=C5)OC)O4)O)O"	-0.6
"2-methyl-5-nitro-4-(1,2,4,5-tetrahydro-3-benzazepin-3-yl)-1h-pyrimidin-6-one"	"CC1=NC(=C(C(=O)N1)[N+](=O)[O-])N2CCC3=CC=CC=C3CC2"	-0.59
"2-(4-phenylmethoxyphenyl)-n-[1-(2-pyrrolidin-1-ylethyl)indol-6-yl]acetamide"	"C1CCN(C1)CCN2C=CC3=C2C=C(C=C3)NC(=O)CC4=CC=C(C=C4)OCC5=CC=CC=C5"	-0.59
"4-acetamido-n-(2-aminophenyl)benzamide"	"CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N"	-0.58
"6-(3-hydroxyphenyl)-5-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-ol"	"C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC(=CC=C5)O"	-0.57
"(4r,4as,5ar,12ar)-4,7-bis(dimethylamino)-1,10,11,12a-tetrahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4h-tetracene-2-carboxamide"	"CN(C)[C@@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C"	-0.52
"(4s,4as,5ar,12ar)-4,7-bis(dimethylamino)-1,10,11,12a-tetrahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4h-tetracene-2-carboxamide"	"CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C"	-0.52
"(e)-n-[2-(2-methylindol-1-yl)ethyl]-3-(3,4,5-trimethoxyphenyl)prop-2-enamide"	"CC1=CC2=CC=CC=C2N1CCNC(=O)/C=C/C3=CC(=C(C(=C3)OC)OC)OC"	-0.52
"6-[2-[4-[(4-fluorophenyl)methyl]piperidin-1-yl]ethylsulfinyl]-3h-1,3-benzoxazol-2-one"	"C1CN(CCC1CC2=CC=C(C=C2)F)CCS(=O)C3=CC4=C(C=C3)NC(=O)O4"	-0.52
"6-[(2-fluoroacetyl)amino]-n-phenylhexanamide"	"C1=CC=C(C=C1)NC(=O)CCCCCNC(=O)CF"	-0.51
"(2z,4e,6e,8e)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoate"	"CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)[O-])/C)/C"	-0.49
"(2e,4e,6e,8e)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid"	"CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C"	-0.49
"3-[(2s,3r)-2-(tert-butylcarbamoyl)-3-[4-[(4-chlorophenyl)methoxy]phenyl]-4-oxo-1-azabicyclo[1.1.0]butan-2-yl]-6-chloro-1h-indole-2-carboxylic acid"	"CC(C)(C)NC(=O)[C@@]1([C@]2(N1C2=O)C3=CC=C(C=C3)OCC4=CC=C(C=C4)Cl)C5=C(NC6=C5C=CC(=C6)Cl)C(=O)O"	-0.46
"6-[4-methyl-1-(pyrimidin-2-ylmethyl)pyrrolidin-3-yl]-1-(oxan-4-yl)-5h-pyrazolo[3,4-d]pyrimidin-4-one"	"CC1CN(CC1C2=NC3=C(C=NN3C4CCOCC4)C(=O)N2)CC5=NC=CC=N5"	-0.4
"n-(5-methyl-1,2,4-oxadiazol-3-yl)-9h-xanthene-9-carboxamide"	"CC1=NC(=NO1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24"	-0.4
"n-tert-butyl-1-(1-oxidopyridin-1-ium-4-yl)methanimine oxide"	"CC(C)(C)/[N+](=C/C1=CC=[N+](C=C1)[O-])/[O-]"	-0.38
"4-[6-hydroxy-1-[4-(2-piperidin-1-ylethoxy)phenoxy]naphthalen-2-yl]-n,n-dimethylbenzenesulfonamide"	"CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5"	-0.37
"[(2r,9s)-2-carbamoyl-9-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenyl] acetate"	"CC(=O)O[C@H]1CC2=CC=CC=C2[C@H](C3=CC=CC=C13)C(=O)N"	-0.34
"(5s)-1-methyl-5-pyridin-3-ylpyrrolidin-2-one"	"CN1[C@@H](CCC1=O)C2=CN=CC=C2"	-0.32
"[4,12-diacetyloxy-15-(3-benzamido-2-hydroxy-3-phenylpropanoyl)oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate"	"CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C"	-0.3
"4-[8-(2-fluorophenyl)-2-oxo-1,3-dihydro-1,5-benzodiazepin-4-yl]pyridine-2-carbonitrile"	"C1C(=NC2=C(C=C(C=C2)C3=CC=CC=C3F)NC1=O)C4=CC(=NC=C4)C#N"	-0.3
"1,3-dimethyl-5h-purine-2,6-dione"	"CN1C2=NC=NC2C(=O)N(C1=O)C"	-0.29
"1,3-dimethyl-5,7-dihydro-4h-purine-2,6-dione"	"CN1C2C(C(=O)N(C1=O)C)NC=N2"	-0.29
"8-[4-(5-(123i)iodanylthiophen-2-yl)-4-oxobutyl]-3-methyl-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one"	"CN1CN(C2(C1=O)CCN(CC2)CCCC(=O)C3=CC=C(S3)[123I])C4=CC=CC=C4"	-0.25
"benzamide"	"C1=CC=C(C=C1)C(=O)N"	-0.24
"4-amino-5-chloro-2-methoxy-n-[(3s,4r)-3-methoxypiperidin-4-yl]benzamide"	"CO[C@H]1CNCC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl"	-0.22
"(8s,9s,10r,11s,13s,14s,17r)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1h-cyclopenta[a]phenanthren-3-one"	"C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O"	-0.22
"[(1s,4r)-4-[2-amino-6-(cyclopropylamino)purin-9-yl]cyclopent-2-en-1-yl]methanol"	"C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO"	-0.22
"propane-1,2,3-triol"	"C(C(CO)O)O"	-0.21
"1-[2-[(2-chlorothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole"	"C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl"	-0.2
"2-phenylethylhydrazine"	"C1=CC=C(C=C1)CCNN"	-0.2
"(2r)-2-[4-(2-methylpropyl)phenyl]propanoic acid"	"C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)O"	-0.18
"n-[(5s)-2,4-dioxo-6-[(2s,3s,4r)-2,3,4,5-tetrahydroxypentyl]imino-1,3-diazinan-5-yl]propanamide"	"CCC(=O)N[C@H]1C(=NC[C@@H]([C@@H]([C@@H](CO)O)O)O)NC(=O)NC1=O"	-0.18
"(8s,9s,10r,11s,13s,14s,17r)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-3-one"	"C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O"	-0.18
"2-(4-benzylpiperazin-1-yl)-n-[(z)-(2-hydroxy-3-prop-2-enylphenyl)methylideneamino]acetamide"	"C=CCC1=C(C(=CC=C1)/C=N\NC(=O)CN2CCN(CC2)CC3=CC=CC=C3)O"	-0.17
"2-aminopropanoic acid"	"CC(C(=O)O)N"	-0.17
"methyl (1s,6r)-6-methyl-2-oxo-4-[3-(trifluoromethoxy)anilino]cyclohex-3-ene-1-carboxylate"	"C[C@@H]1CC(=CC(=O)[C@H]1C(=O)OC)NC2=CC(=CC=C2)OC(F)(F)F"	-0.17
"6-[(s)-(4-chlorophenyl)-(1,2,4-triazol-1-yl)methyl]-1-methylbenzotriazole"	"CN1C2=C(C=CC(=C2)[C@H](C3=CC=C(C=C3)Cl)N4C=NC=N4)N=N1"	-0.16
"n-(2-propan-2-yltetrazol-5-yl)-9h-xanthene-9-carboxamide"	"CC(C)N1N=C(N=N1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24"	-0.12
"5-[2-[(3r)-1-methyl-5-oxopyrrolidin-3-yl]ethyl]-3,4-dihydro-2h-pyrido[4,3-b]indol-1-one"	"CN1C[C@@H](CC1=O)CCN2C3=C(C4=CC=CC=C42)C(=O)NCC3"	-0.12
"7-(2-methylpyridin-4-yl)-2-pyridin-2-yl-[1,2,4]triazolo[1,5-a]pyridin-5-amine"	"CC1=NC=CC(=C1)C2=CC3=NC(=NN3C(=C2)N)C4=CC=CC=N4"	-0.1
"[(4z,6z,10z)-19-[2-(dimethylamino)ethylamino]-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate"	"CC1CC(C(C(/C=C(\C(C(/C=C\C=C(/C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)\C)OC)OC(=O)N)/C)C)O)OC"	-0.09
"(13ar)-2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5h-isoquinolino[2,1-b]isoquinoline"	"COC1=C(C2=C(C[C@@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC"	-0.07
"2-[[4-(1-methyl-4-pyridin-4-ylpyrazol-3-yl)phenoxy]methyl]quinoline"	"CN1C=C(C(=N1)C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C5=CC=NC=C5"	-0.06
"1,3,7-trimethyl-4,5-dihydropurine-2,6-dione"	"CN1C=NC2C1C(=O)N(C(=O)N2C)C"	-0.06
"3-ethyl-8-[4-(4-fluorophenyl)-4-oxobutyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one"	"CCN1CN(C2(C1=O)CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4"	-0.01
"(7s,9s)-9-acetyl-7-[(2r,4s,5s,6s)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-8,10-dihydro-7h-tetracene-5,12-dione"	"C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O"	0.0
"2-amino-4-methylpentanoic acid"	"CC(C)CC(C(=O)O)N"	0.0
