ID	X	Y
"CHEMBL4535004"	"CC1(NC(=O)Nc2ccccc2F)CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1"	0
"CHEMBL476180"	"CN(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)C2CCCC21"	0
"CHEMBL4579369"	"COc1ccc2[nH]c(C(=O)N3CC(=O)N(Cc4cccc(C5(O)COC5)c4)[C@@H](Cc4ccccc4)C3)cc2c1"	1
"CHEMBL3401700"	"Fc1ccc(-c2ccc(CNCCCNc3ccnc4cc(Cl)ccc34)s2)cc1"	0
"CHEMBL1077334"	"O=C(O)C=Cc1ccc(NC(=O)C2(NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)CCCC2)cc1"	0
"CHEMBL4084494"	"CNS(=O)(=O)c1ccc(C(F)(F)F)cc1"	0
"CHEMBL4639856"	"CCP(=O)(CC)c1ccc(C(F)(F)F)cc1"	0
"CHEMBL1684490"	"O=C(NOCCO)c1cc(C=NOCCO)c(F)c(F)c1Nc1ccc(I)cc1F"	0
"CHEMBL299031"	"CC[C@@H]1CN2CCc3c([nH]c4cccc(OC)c34)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC"	1
"CHEMBL261300"	"CCC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O"	0
"CHEMBL3810245"	"CC(c1cccc(C(F)(F)F)c1)c1nc(-n2ccc(NC(=O)c3cscn3)cc2=O)c[nH]1"	0
"CHEMBL3357888"	"CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1C=CC(=O)OCC(Cl)(Cl)Cl"	0
"CHEMBL557500"	"C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(N2CCOCC2)cc1"	0
"CHEMBL2407262"	"CC(C)N1CCN(c2ccc(NC(=O)c3ccc(-c4ccccn4)cc3)c(F)c2)CC1"	0
"CHEMBL567294"	"O=C(NCc1ccc(-n2cnnn2)cc1Cl)c1ccc(OCCC(F)(F)F)nc1"	0
"CHEMBL556482"	"CCOc1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3C(F)(F)F)C[C@H]2C)c(Cl)c1"	1
"CHEMBL519304"	"COc1ccc2c(c1)CC(C(=O)Nc1ccc(-c3cn[nH]c3)c(OC)c1)CO2"	1
"CHEMBL1766846"	"O=C1CC(=O)N(CCc2cccc(F)c2)C(=O)N1CCc1cccc(F)c1"	0
"CHEMBL1229713"	"Cc1[nH]c2ccccc2c1CC(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)c1ccccc1"	1
"CHEMBL3408947"	"COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(C=Cc4ccc(CN5C[C@@H](C)O[C@@H](C)C5)cc4)[nH]nc3c1)C(=O)N2"	0
"CHEMBL4522782"	"C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H](OC(=O)c3cccc(O)c3)CCC[C@]12C"	0
"CHEMBL2431048"	"COc1ccccc1OCCNCCCCN1C(=O)C2CCCN2C1=O"	0
"CHEMBL1808978"	"COc1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)NCCN4CCCCC4)cc3)cc2)nc(N2CCOCC2)n1"	0
"CHEMBL3353880"	"CC(C)(C)c1cc(NC(=O)[C@@H]2CCC(=O)N2c2ccc(Cl)cc2)on1"	0
"CHEMBL1858782"	"ON=C(NCC1CC1)c1ccccc1-c1ccccc1"	0
"CHEMBL4218348"	"CC#C[C@@H](Cc1nn[nH]n1)c1ccc(OCc2ccc3sc(C(F)(F)F)c(-c4ccccc4C)c3c2)cc1"	1
"CHEMBL1917468"	"C[C@@H]1CCCN1CCc1ccc(-c2ccc(=O)n(-c3ccc(F)cc3)n2)cc1"	0
"CHEMBL3421835"	"CC(=NCCC1CCN(c2ccncc2)CC1)Nc1ccnc2cc(Cl)ccc12"	0
"CHEMBL3806063"	"NC(=O)c1cncc(OCc2cccc(NC(=O)c3cccnc3)c2)c1"	0
"CHEMBL2375772"	"CC(C)CCc1cc(N2CCN(C)CC2)nc(N)n1"	0
"CHEMBL1684985"	"Oc1cccc(-c2nc(N3CCOCC3)nc3c2CCN3c2ccncc2)c1"	1
"CHEMBL2057573"	"COC(=O)[C@H](CCC(N)=O)NC(=O)CCCCCCCCNC(=O)[C@]12CC[C@@H](C(C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2"	0
"CHEMBL1088375"	"CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccn1"	1
"CHEMBL3786899"	"c1ccc2c(c1)CNC(CN1CCC3(CCc4ccccc43)CC1)C2"	1
"CHEMBL485215"	"COc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1"	1
"CHEMBL1762285"	"CC(C)(C)c1ccc(NC(=O)N2CCCN(C(=O)C3CCCCC3)CC2)cc1"	1
"CHEMBL254163"	"CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c(-c3cccs3)nn(Cc3ccc(F)cc3)c1=O)=N2"	0
"CHEMBL1684042"	"CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1"	0
"CHEMBL4464319"	"O=C(NCCn1ccc(-c2ccc(F)c(F)c2)n1)N1CC[C@H](F)C1"	1
"CHEMBL1830219"	"COc1cc(/C(=N\C#N)c2csc(-c3ccccc3)n2)cc(OC)c1OC"	1
"CHEMBL612007"	"CS(=O)(=O)c1cccc(Oc2cccc(-c3c(CN4CCSC4)nc4c(C(F)(F)F)cccn34)c2)c1"	1
"CHEMBL4648948"	"CN(Cc1ccc(-c2ccccc2)cc1)C1CN(C#N)C1"	1
"CHEMBL2442614"	"CON=C(N)c1ccc(-c2cncc(-c3ccc(C(N)=NOC)cn3)n2)nc1"	0
"CHEMBL4458978"	"O=C(Oc1cccc(N2CCS(=O)(=O)CC2)c1)N1CCC(c2ccc(N3CCCC3)cc2)CC1"	1
"CHEMBL1859710"	"ON=C(NC1CCCCC1)c1ccccc1Oc1ccccc1"	0
"CHEMBL4643282"	"Oc1c2cc(OCc3ccc(Cl)cc3)ccc2nc2cc(F)cc(F)c12"	0
"CHEMBL2017291"	"COc1cc2c(cc1-c1c(C)noc1C)ncc1nc(O)n([C@H](C)c3ccccn3)c12"	0
"CHEMBL4521157"	"N#Cc1cccc(OC(=O)N2CCC(C(c3ccccc3)c3ccccc3)CC2)c1"	0
"CHEMBL1076428"	"CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(C1=C(O)[C@H]3[C@H]4CC[C@H](C4)[C@H]3N(Cc3ccc(F)cc3)C1=O)=N2"	0
"CHEMBL257082"	"CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(-c4cnoc4)ccc3N2)c1=O"	1
"CHEMBL1779547"	"Cc1c2c(n3c1CCCN1CCC[C@@H](C1)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O"	1
"CHEMBL1688558"	"Oc1c(C(Nc2ccccn2)c2ccccc2)ccc2cccnc12"	1
"CHEMBL4641224"	"COc1ccc2nc3cc(Oc4ccc(OC(F)(F)F)cc4)ccc3c(O)c2c1Cl"	0
"CHEMBL4228517"	"C=C(C)[C@@H]1CC[C@]2(CNCCNCCO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	0
"CHEMBL2386145"	"CC(C)(C)c1ccc(-c2ccc(C#N)cn2)cc1"	0
"CHEMBL1076294"	"CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(C1=C(O)[C@@H]3C4CCC(CC4)[C@@H]3N(Cc3ccccc3F)C1=O)=N2"	0
"CHEMBL2315328"	"C[C@@H]1CN(C(=O)c2ccccc2)CCN1C(=O)C(=O)c1c[nH]c2c(-c3nn[nH]n3)ccc(F)c12"	0
"CHEMBL239965"	"CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(c1cccc(F)c1F)O2"	1
"CHEMBL1783749"	"CCS(=O)(=O)c1ccn([C@@H](CC2CCOCC2)C(=O)Nc2ccc(C)cn2)c(=O)c1"	0
"CHEMBL4646216"	"O=C(C=Cc1cc(Cl)ccc1-n1cnnn1)N[C@H]1CCCCC(=O)Nc2ccccc2-c2c[nH]c1n2"	1
"CHEMBL481313"	"C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cccc(N2CCN(C)CC2)c1"	1
"CHEMBL4203179"	"CCN1CCC(N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)CC1"	0
"CHEMBL403641"	"CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c(-c3cccs3)nn(CC3CC3)c1=O)=N2"	0
"CHEMBL1673019"	"CCCCCCN=C(NC1=NC(=O)C(=O)N1C(C)C)Nc1ccc(Cl)c(Cl)c1"	1
"CHEMBL2035184"	"C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC1"	0
"CHEMBL4527776"	"COC(=O)[C@@H]1CCCN1P(=O)(OC[C@H]1OC(OC(C)=O)[C@@H](NC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)Oc1ccccc1"	1
"CHEMBL1684209"	"O=C(NCCc1ccccn1)c1ccc2c(c1)CC(c1nc(O)c3cc(-c4cn[nH]c4)ccc3n1)CO2"	0
"CHEMBL4643996"	"C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F"	0
"CHEMBL1762294"	"CC(C)(C)c1cc(NC(=O)N2CCCN(C(=O)C3CCOCC3)CC2)on1"	0
"CHEMBL4225434"	"COc1cc2ccc(Br)cc2cc1[C@@H](c1cccc(C)c1)[C@@](O)(CCN(C)C)c1cccc2c1OCO2"	0
"CHEMBL4159744"	"COc1cnc(O[C@@H]2C[C@@H](C(=O)NC3(C(=O)NS(=O)(=O)C4CC4)CC3)N(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C2)c2cc(Cl)ccc12"	0
"CHEMBL395931"	"Clc1cccc(CN(CC2CC2)[C@@H]2CCNC2)c1Cl"	0
"CHEMBL2401892"	"O=C(Nc1ccc(F)c(-c2nc3ccccc3s2)c1)c1cnccc1Cl"	0
"CHEMBL1684703"	"CC(C)[C@]1(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)CC(C)(C)C)CC[C@@H](NC2CCOCC2F)C1"	0
"CHEMBL1684218"	"CN(C)CCSc1nc(C2COc3ccc(C(=O)NC4CC4)cc3C2)nc2ccc(-c3cn[nH]c3)cc12"	1
"CHEMBL2165291"	"Cc1cc(CCC#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1C(F)(F)F"	0
"CHEMBL2349552"	"Cc1ccc(NC(=O)c2nn(C)c(-c3ccc(F)cc3)c2C)nc1"	1
"CHEMBL2333908"	"COc1cc(-c2cn[nH]c2)cc2c(O)nc([C@H](N)Cc3cccc(F)c3)nc12"	0
"CHEMBL1088374"	"CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cccc2c1OCO2"	1
"CHEMBL2181496"	"COc1ccc(-c2cc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)cnc2N)cn1"	0
"CHEMBL366958"	"O=C(CN1CCC(N2C(=O)OCc3ccc(F)cc32)CC1)Nc1ccc2c(c1)-c1ccccc1C2O"	1
"CHEMBL4168761"	"COCc1ncn(-c2ncc(OC)c3c(C(=O)C(=O)N4CCN(C(=O)c5ccccc5)[C@H](C)C4)c[nH]c23)n1"	0
"CHEMBL3121096"	"O=C1NN=C(c2ccc(OC3CCN(C4CCC4)CC3)cc2)[C@@H]2C[C@H]12"	0
"CHEMBL3326070"	"COCOc1c(OC)cc(C(=O)c2csc(-c3ccccc3)n2)cc1OC"	1
"CHEMBL2089305"	"C[C@H](Oc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)CC(=O)C1"	0
"CHEMBL4571930"	"O=C(c1cc2cc(C3CC3)ccc2[nH]1)N1CC(=O)N(Cc2cccc(C3CC3)c2)[C@@H](Cc2ccccc2)C1"	0
"CHEMBL4527696"	"O=c1oc2cc(O)ccc2c2oc3ccc(O)c(CN4CCCCC4)c3c12"	0
"CHEMBL1824021"	"O=C(NCC1(O)CCCCCC1)c1cc(-c2cnoc2)ccc1Cl"	1
"CHEMBL1215524"	"CN(C)CCOc1cc(-c2cn[nH]c2)c(F)cc1NC(=O)[C@H]1Cc2ccccc2CN1"	0
"CHEMBL4635609"	"COc1ccc(S(=O)(=O)N(C)c2cnc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1"	1
"CHEMBL3771227"	"COc1ccc(Cn2c(C)nc3c([N+](=O)[O-])c(Cl)c(Cl)cc32)cc1"	1
"CHEMBL2403317"	"COc1ccnc(Oc2ccc3c(c2)c(=O)ncn3Cc2c(F)cc(F)cc2F)c1C(F)(F)F"	0
"CHEMBL1828775"	"CC(C)N1CCN=C1N=C(N)Nc1ccc(Cl)c(Cl)c1"	0
"CHEMBL1774624"	"CCNC(=O)NCCN1C[C@H](C)C[C@@](C)(O)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@H]1C"	0
"CHEMBL471372"	"O=C(O)C[C@H](NC(=O)c1cc2ccccc2cc1NC(=O)Nc1c(Cl)cccc1Cl)C(=O)O"	0
"CHEMBL255240"	"CCC(C)n1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O"	0
"CHEMBL1935426"	"O=S1(=O)CCC(COc2ccc3c(c2)CCC2(CCN(C4CCC4)CC2)O3)CC1"	0
"CHEMBL4550135"	"COc1ccc2[nH]c(C(=O)N3CC(=O)N(Cc4ccccc4)[C@@H](CN4CCC5(CC4)CC5)C3)cc2c1"	0
"CHEMBL4475075"	"N#CC(C#N)C(c1ccccc1)c1c(-c2ccccc2)[nH]c2cc(Cl)ccc12"	1
"CHEMBL1209476"	"CC(C)CC1n2cncc2CN(Cc2ccc(F)cc2)S1(=O)=O"	1
"CHEMBL398722"	"CCCCCN(C(=O)Nc1ccc(N(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1"	0
"CHEMBL565633"	"CC(C)(C)c1noc([C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)n1"	0
"CHEMBL4641403"	"CCCCNC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](C(=O)N2CCOCC2)CC1"	0
"CHEMBL4171984"	"CCCc1ccncc1C#CCN"	0
"CHEMBL1824022"	"COc1ccc(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)nn1"	0
"CHEMBL1824026"	"Cc1cc(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)nn1C[C@@H](O)CN"	0
"CHEMBL1684048"	"CC(C)CC(N(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1"	1
"CHEMBL475813"	"Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1"	1
"CHEMBL2403734"	"C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@](OC)(c2ccc(-c3ccc(C)cn3)cc2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1"	0
"CHEMBL4211335"	"CC#C[C@@H](Cc1nn[nH]n1)c1ccc(OCc2ccc3c(c2)c(-c2ccccc2C)c[s+]3[O-])cc1"	1
"CHEMBL1922043"	"COc1cccc(CN(C(=O)c2cc3ccc(-c4cn[nH]c4)nc3[nH]2)C2CC2)c1"	1
"CHEMBL3598108"	"CS(=O)(=O)c1cnc(O[C@H]2CC[C@H](OC3CCN(CC4(C(F)(F)F)CC4)CC3)CC2)cn1"	1
"CHEMBL215183"	"Cc1cscc1-c1ccccc1"	0
"CHEMBL1828784"	"CC(C)n1ccnc1N=C(NC(=O)OC(C)(C)C)Nc1ccc(Cl)c(Cl)c1"	0
"CHEMBL239598"	"CC1CC(N2CCN(C3CCc4ccc(OCc5noc(-c6ccc(Cl)cc6)n5)cc43)CC2)CC1C"	1
"CHEMBL1807910"	"CC(C)C(=O)Nc1ccc2nn(-c3ccc(Cl)cc3)nc2c1"	0
"CHEMBL255552"	"Cn1cnc2ccc(-c3ccc(Cl)cc3Cl)c(CN)c21"	0
"CHEMBL4456585"	"O=C(NNS(=O)(=O)c1ccccc1F)c1cc(F)cc(-c2ccccn2)c1"	0
"CHEMBL4279467"	"COc1cc2c(N3CCNCC3)nc(N(C)C)nc2cc1OCCCN1CCCC1"	0
"CHEMBL1813470"	"CN1C[C@H]2CCCC[C@@]2(c2ccc3ccccc3c2)C1"	1
"CHEMBL3216541"	"CCN(CC)CCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12"	1
"CHEMBL1922035"	"COc1cccc(CNC(=O)c2cc3ccc(-c4cn[nH]c4)nc3n2C)c1"	0
"CHEMBL1290150"	"O=c1cc(-c2ccc(Cl)cc2Cl)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1"	0
"CHEMBL463115"	"O=C(Nc1ccc(F)cc1F)N1CCC(N(CCc2ccc(Cl)cc2)C(=O)c2csc3ccccc23)CC1"	1
"CHEMBL4644268"	"O=P1(c2ccc(C(F)(F)F)cc2)NCCCO1"	0
"CHEMBL175723"	"COc1ccc2c(c1)COC(=O)N2C1CCN(CC(=O)Nc2ccc3[nH]c4ccccc4c3c2)CC1"	0
"CHEMBL3092995"	"NS(=O)(=O)NC[C@H]1COc2cc(Cl)ccc2O1"	0
"CHEMBL411407"	"CCC(C)(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O"	0
"CHEMBL3577855"	"CC(C)n1c(=O)ccc2cnc(N[C@H]3CC[C@H](O)CC3)nc21"	0
"CHEMBL579031"	"CCc1nn(CCO)c(CC)c1Oc1cccc(C#N)c1"	1
"CHEMBL589860"	"CS(=O)(=O)c1ccccc1OC1CCN(C(=O)NCc2ccc(Cl)cc2Cl)CC1"	1
"CHEMBL38380"	"O=S(=O)(c1cccc2cnccc12)N1CCCNCC1"	0
"CHEMBL528966"	"COc1cc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2N)ccc1O"	0
"CHEMBL482337"	"COc1cc(NC(=O)C2COc3ccc(F)cc3C2)ccc1-c1cn[nH]c1"	1
"CHEMBL3815001"	"CC(C)[C@@H]1CN(c2ccc(F)c(S(C)(=O)=O)c2)CCN1c1ncc(CO)c(C(F)(F)F)n1"	1
"CHEMBL1256459"	"CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1"	1
"CHEMBL1945845"	"Cc1nnc(O)cc1-c1ccc(OC2CCN(C3CCC3)CC2)cc1"	0
"CHEMBL2152415"	"N[C@H]1CC[C@@H](n2cnc3cnc4[nH]ccc4c32)CC1"	0
"CHEMBL4224771"	"COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccoc12"	0
"CHEMBL4291021"	"CCOC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12"	1
"CHEMBL1684700"	"CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CCCC2)(C(C)C)C1"	0
"CHEMBL230077"	"CCN(C(=O)OCC(=O)Nc1ccc(-c2ccc(CC(=O)O)cc2)cc1Cl)c1ccc(C(C)(C)C)cc1Cl"	1
"CHEMBL2387438"	"COc1ccc(-c2cc(C3=Nc4c(C(C)(C)C)nn(CCCO)c4C(=O)NC3)ccc2OC)cn1"	0
"CHEMBL2322710"	"C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc([C@](O)(C(N)=O)C(F)(F)F)cc1"	1
"CHEMBL410355"	"Cc1csc(-c2cccnc2)n1"	0
"CHEMBL97137"	"N=C(NN=Cc1ccc(Cl)cc1)NN=Cc1ccc(Cl)cc1"	0
"CHEMBL2047454"	"Cc1cc(Cl)cc2cc(C(=O)N3CC(N4CCCC4)C3)[nH]c12"	0
"CHEMBL4294371"	"CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC4(c5ncccn5)CC4)c3)cc12"	0
"CHEMBL4171558"	"NCC#Cc1cccnc1"	0
"CHEMBL4225296"	"COC(=O)Nc1ccc(-c2cc([C@H](CC(=O)N3CC[C@@H](O)C3)NC(=O)C=Cc3cc(Cl)ccc3-n3cnnn3)c(Cl)nn2)cc1"	0
"CHEMBL3421842"	"Cc1cc2ccccc2c(C(C)(C)NC(=O)[C@H]2[C@@H]3CNC[C@@H]32)n1"	0
"CHEMBL1171312"	"CC(=O)c1cc(C(=O)O)c(Nc2ccc(I)cc2F)n1C"	0
"CHEMBL4169324"	"NCc1ccc(-c2cnccc2-c2ccoc2)o1"	0
"CHEMBL3787677"	"C=C(C)[C@@H]1CC[C@]2(C(=O)NCCN(C(C)C)C(C)C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	0
"CHEMBL4215300"	"CCN(CC)[C@@H](C)CNC(=O)c1cc(-c2cnn3ccc(-c4cccs4)nc23)nc(N2CC(OC)C2)c1"	0
"CHEMBL2333896"	"COc1cc(-c2cn[nH]c2)cc2c(O)nc(C(N)c3cccc(Cl)c3)nc12"	0
"CHEMBL473119"	"Cc1[nH]nc2ccc(F)c(Oc3cc(C#N)cc(C#N)c3)c12"	0
"CHEMBL262065"	"CC(C)CCn1nc(CC2=CCCC2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O"	1
"CHEMBL3220756"	"CC(=O)CC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCCC(N2)C(=O)O[C@H](C(C)=CC=CC(=O)Nc2ccccn2)CC=CC=C[C@H](O)[C@H](C)[C@H]1O"	1
"CHEMBL4633637"	"CCOc1ccc(-c2nnc([C@H]3C[C@H](NC(=O)c4ccccn4)C3)n2-c2ccccc2F)nc1"	0
"CHEMBL582802"	"C#CC[C@]1(C)CN(C2CCCC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O"	0
"CHEMBL552394"	"C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(N2CCOCC2)cc1Cl"	0
"CHEMBL2036653"	"COC(=O)N1CCN(CC(=O)c2ccc(OCCCN3CCC[C@H]3C)cc2)CC1"	0
"CHEMBL4635640"	"Nc1ncnc2c1c(Oc1cc(Cl)ccn1)nn2[C@H]1C[C@H](F)C1"	0
"CHEMBL213403"	"CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC)ccc1O"	1
"CHEMBL561312"	"COC(=O)Nc1ccc2sc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1"	0
"CHEMBL575495"	"COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NCc4ccco4)cc3)sc2n1"	0
