experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity
exp_0135,0.0001,0.3,32,3,0.1,0.1,1,0.0,5,300,50,scaffold,97.2387,88.4675,,83.8701,,171,True,2025-11-21 09:50:59,0.9689,0.9158,0.9220,0.9421,0.8863,0.9107,0.8061,0.8359,0.8735,0.7184,0.8760,0.7735,0.8038,0.7770,0.7683
exp_0112,0.0001,0.3,128,3,1.0,1.0,1,0.0,5,300,50,scaffold,97.5930,88.0124,,83.5918,,263,True,2025-11-21 09:51:41,0.9788,0.9217,0.9257,0.9228,0.9204,0.9052,0.7895,0.8145,0.8175,0.7532,0.8750,0.7721,0.8074,0.8000,0.7308
exp_0137,0.0001,0.3,512,3,0.1,0.1,1,0.0,5,300,50,scaffold,97.8164,87.8492,,82.6283,,500,False,2025-11-21 09:53:57,0.9809,0.9258,0.9297,0.9283,0.9229,0.9067,0.7950,0.8194,0.8224,0.7595,0.8641,0.7680,0.8088,0.8218,0.6882
exp_0188,0.0001,0.3,512,3,0.1,0.1,1,1e-05,3,300,50,scaffold,92.3126,86.4575,,81.5952,,500,False,2025-11-21 09:54:12,0.9273,0.8431,0.8460,0.8151,0.8746,0.8898,0.7840,0.7985,0.7567,0.8196,0.8445,0.7515,0.7920,0.7920,0.6917
exp_0138,0.0001,0.3,32,3,0.1,0.01,1,0.0,3,300,50,scaffold,95.5069,87.9870,,83.5479,,292,True,2025-11-21 09:55:30,0.9535,0.8897,0.8940,0.8797,0.9009,0.8920,0.8033,0.8183,0.7835,0.8291,0.8653,0.7804,0.8182,0.8276,0.7104
exp_0110,0.0001,0.3,512,3,1.0,1.0,1,0.0,3,300,50,scaffold,92.1855,86.3385,,81.4079,,500,False,2025-11-21 09:56:57,0.9260,0.8412,0.8441,0.8132,0.8726,0.8889,0.7923,0.8076,0.7713,0.8196,0.8422,0.7543,0.7943,0.7943,0.6951
exp_0113,0.0001,0.3,512,3,1.0,1.0,1,0.0,5,300,50,scaffold,97.6804,87.8784,,82.2770,,500,False,2025-11-21 09:58:00,0.9797,0.9240,0.9280,0.9265,0.9213,0.9089,0.8033,0.8267,0.8297,0.7690,0.8604,0.7701,0.8080,0.8103,0.7104
exp_0111,0.0001,0.3,32,3,1.0,1.0,1,0.0,5,300,50,scaffold,97.0550,88.6107,,83.9214,,165,True,2025-11-21 10:03:25,0.9676,0.9128,0.9182,0.9257,0.8984,0.9086,0.7882,0.8175,0.8394,0.7215,0.8757,0.7769,0.8181,0.8402,0.6831
exp_0176,0.0001,0.3,512,3,1.0,0.01,1,1e-05,3,300,50,scaffold,92.3029,86.2669,,81.3632,,500,False,2025-11-21 10:08:15,0.9272,0.8416,0.8448,0.8154,0.8709,0.8884,0.7964,0.8112,0.7737,0.8259,0.8399,0.7529,0.7914,0.7851,0.7053
exp_0127,0.0001,0.3,128,3,0.1,1.0,1,0.0,3,300,50,scaffold,94.3950,86.4960,,83.2566,,343,True,2025-11-21 10:09:44,0.9440,0.8751,0.8804,0.8689,0.8821,0.8856,0.8074,0.8276,0.8175,0.7943,0.8644,0.7666,0.8019,0.7908,0.7308
exp_0130,0.0001,0.3,128,3,0.1,1.0,1,0.0,5,300,50,scaffold,97.2206,88.0725,,83.5090,,233,True,2025-11-21 10:09:46,0.9755,0.9152,0.9186,0.9057,0.9259,0.9101,0.7978,0.8210,0.8200,0.7690,0.8731,0.7632,0.7988,0.7874,0.7274
exp_0215,0.0001,0.3,512,3,0.01,0.01,1,1e-05,5,300,50,scaffold,97.7016,87.8207,,82.3791,,500,False,2025-11-21 10:10:44,0.9798,0.9211,0.9251,0.9220,0.9200,0.9059,0.7923,0.8174,0.8224,0.7532,0.8612,0.7721,0.8107,0.8172,0.7053
exp_0214,0.0001,0.3,128,3,0.01,0.01,1,1e-05,5,300,50,scaffold,97.3275,88.1302,,82.9317,,233,True,2025-11-21 10:11:04,0.9763,0.9150,0.9182,0.9027,0.9288,0.9104,0.7950,0.8181,0.8151,0.7690,0.8660,0.7646,0.8000,0.7885,0.7291
exp_0128,0.0001,0.3,512,3,0.1,1.0,1,0.0,3,300,50,scaffold,92.2278,86.3739,,81.5085,,500,False,2025-11-21 10:11:13,0.9259,0.8424,0.8457,0.8173,0.8705,0.8870,0.7909,0.8056,0.7664,0.8228,0.8433,0.7563,0.7975,0.8034,0.6865
exp_0189,0.0001,0.3,32,3,0.1,0.1,1,1e-05,5,300,50,scaffold,98.4872,88.6091,,83.3622,,220,True,2025-11-21 10:12:31,0.9862,0.9362,0.9391,0.9298,0.9434,0.9057,0.8074,0.8305,0.8345,0.7722,0.8687,0.7694,0.7976,0.7609,0.7819
exp_0179,0.0001,0.3,512,3,1.0,0.01,1,1e-05,5,300,50,scaffold,97.5494,87.9200,,82.3760,,500,False,2025-11-21 10:13:03,0.9784,0.9207,0.9247,0.9216,0.9196,0.9099,0.7992,0.8224,0.8224,0.7690,0.8629,0.7694,0.8065,0.8046,0.7172
exp_0108,0.0001,0.3,32,3,1.0,1.0,1,0.0,3,300,50,scaffold,95.3996,88.0675,,83.2102,,292,True,2025-11-21 10:16:25,0.9524,0.8879,0.8926,0.8808,0.8959,0.8905,0.8033,0.8174,0.7786,0.8354,0.8606,0.7817,0.8211,0.8391,0.6968
exp_0205,0.0001,0.3,128,3,0.01,0.1,1,1e-05,3,300,50,scaffold,95.8444,86.6908,,83.7011,,411,True,2025-11-21 10:19:40,0.9581,0.8909,0.8956,0.8860,0.8963,0.8899,0.7992,0.8193,0.8054,0.7911,0.8685,0.7824,0.8136,0.7954,0.7632
exp_0210,0.0001,0.3,32,3,0.01,0.01,1,1e-05,3,300,50,scaffold,95.7327,88.1995,,83.7807,,292,True,2025-11-21 10:26:34,0.9569,0.8946,0.8989,0.8860,0.9042,0.8941,0.8088,0.8243,0.7932,0.8291,0.8673,0.7742,0.8115,0.8138,0.7155
exp_0131,0.0001,0.3,512,3,0.1,1.0,1,0.0,5,300,50,scaffold,97.7744,87.9624,,82.7772,,500,True,2025-11-21 10:28:01,0.9806,0.9236,0.9277,0.9261,0.9209,0.9081,0.7964,0.8208,0.8248,0.7595,0.8630,0.7701,0.8067,0.8034,0.7206
exp_0164,0.0001,0.3,512,3,1.0,1.0,1,1e-05,3,300,50,scaffold,92.2624,86.4694,,81.3824,,500,False,2025-11-21 10:29:26,0.9267,0.8420,0.8451,0.8154,0.8717,0.8898,0.7950,0.8097,0.7713,0.8259,0.8421,0.7509,0.7913,0.7908,0.6917
exp_0208,0.0001,0.3,128,3,0.01,0.1,1,1e-05,5,300,50,scaffold,97.3565,88.2165,,82.9926,,233,True,2025-11-21 10:30:33,0.9766,0.9144,0.9176,0.9020,0.9284,0.9110,0.7964,0.8191,0.8151,0.7722,0.8664,0.7646,0.8000,0.7885,0.7291
exp_0172,0.0001,0.3,128,3,1.0,0.1,1,1e-05,5,300,50,scaffold,99.0243,88.4151,,82.4530,,427,True,2025-11-21 10:33:55,0.9915,0.9466,0.9492,0.9443,0.9492,0.9054,0.8047,0.8293,0.8394,0.7595,0.8604,0.7653,0.8032,0.8023,0.7104
exp_0200,0.0001,0.3,512,3,0.01,1.0,1,1e-05,3,300,50,scaffold,92.2687,86.4848,,81.4664,,500,False,2025-11-21 10:36:43,0.9261,0.8424,0.8455,0.8158,0.8721,0.8883,0.7868,0.8005,0.7567,0.8259,0.8435,0.7509,0.7913,0.7908,0.6917
exp_0171,0.0001,0.3,32,3,1.0,0.1,1,1e-05,5,300,50,scaffold,97.2917,88.2988,,83.9147,,165,True,2025-11-21 10:37:14,0.9742,0.9191,0.9237,0.9261,0.9113,0.9072,0.7868,0.8157,0.8345,0.7247,0.8730,0.7790,0.8185,0.8345,0.6968
exp_0213,0.0001,0.3,32,3,0.01,0.01,1,1e-05,5,300,50,scaffold,97.9689,88.7708,,83.1806,,189,True,2025-11-21 10:39:29,0.9811,0.9207,0.9233,0.9023,0.9413,0.9090,0.8033,0.8258,0.8248,0.7753,0.8664,0.7687,0.8042,0.7954,0.7291
exp_0052,0.001,0.3,128,3,0.01,0.01,1,0.0,5,300,50,scaffold,99.7812,88.6815,,82.9684,,95,True,2025-11-21 10:39:52,0.9981,0.9772,0.9783,0.9725,0.9825,0.8779,0.7854,0.8093,0.8054,0.7595,0.8695,0.7618,0.7955,0.7759,0.7411
exp_0207,0.0001,0.3,32,3,0.01,0.1,1,1e-05,5,300,50,scaffold,97.8992,88.7192,,83.0559,,186,True,2025-11-21 10:40:48,0.9804,0.9268,0.9309,0.9328,0.9200,0.9055,0.7909,0.8216,0.8516,0.7120,0.8668,0.7694,0.8089,0.8172,0.6985
exp_0204,0.0001,0.3,32,3,0.01,0.1,1,1e-05,3,300,50,scaffold,95.7670,88.1849,,83.8717,,292,True,2025-11-21 10:41:30,0.9575,0.8932,0.8974,0.8830,0.9046,0.8939,0.8102,0.8258,0.7956,0.8291,0.8679,0.7763,0.8135,0.8172,0.7155
exp_0129,0.0001,0.3,32,3,0.1,1.0,1,0.0,5,300,50,scaffold,98.1431,88.5137,,83.3188,,218,True,2025-11-21 10:42:39,0.9835,0.9285,0.9315,0.9190,0.9392,0.9037,0.7909,0.8133,0.8054,0.7722,0.8708,0.7646,0.7964,0.7713,0.7547
exp_0043,0.001,0.3,128,3,0.01,0.1,1,0.0,3,300,50,scaffold,97.0255,87.7183,,83.6645,,103,True,2025-11-21 10:42:43,0.9716,0.9044,0.9055,0.8663,0.9471,0.8815,0.7799,0.7933,0.7470,0.8228,0.8654,0.7824,0.8162,0.8092,0.7428
exp_0209,0.0001,0.3,512,3,0.01,0.1,1,1e-05,5,300,50,scaffold,97.7263,87.8222,,82.4780,,500,False,2025-11-21 10:45:22,0.9800,0.9223,0.9263,0.9235,0.9209,0.9056,0.7950,0.8185,0.8175,0.7658,0.8620,0.7701,0.8091,0.8161,0.7019
exp_0125,0.0001,0.3,512,3,1.0,0.01,1,0.0,5,300,50,scaffold,97.6563,88.0217,,82.5144,,500,False,2025-11-21 10:47:07,0.9794,0.9242,0.9282,0.9261,0.9221,0.9101,0.7964,0.8208,0.8248,0.7595,0.8628,0.7680,0.8062,0.8080,0.7087
exp_0040,0.001,0.3,128,3,0.01,1.0,1,0.0,5,300,50,scaffold,99.7483,88.7308,,83.2840,,86,True,2025-11-21 10:48:04,0.9978,0.9739,0.9753,0.9755,0.9721,0.8933,0.8033,0.8292,0.8443,0.7500,0.8750,0.7591,0.7949,0.7816,0.7257
exp_0120,0.0001,0.3,32,3,1.0,0.01,1,0.0,3,300,50,scaffold,95.4437,88.0967,,83.5804,,292,True,2025-11-21 10:49:55,0.9536,0.8903,0.8949,0.8838,0.8975,0.8928,0.7992,0.8147,0.7810,0.8228,0.8656,0.7804,0.8196,0.8356,0.6985
exp_0203,0.0001,0.3,512,3,0.01,1.0,1,1e-05,5,300,50,scaffold,97.6825,87.7468,,82.8976,,500,True,2025-11-21 10:50:04,0.9797,0.9221,0.9261,0.9242,0.9196,0.9059,0.7937,0.8180,0.8200,0.7595,0.8656,0.7714,0.8076,0.8034,0.7240
exp_0045,0.001,0.3,32,3,0.01,0.1,1,0.0,5,300,50,scaffold,99.4820,88.3535,,83.9771,,71,True,2025-11-21 10:51:47,0.9952,0.9643,0.9666,0.9766,0.9504,0.8687,0.7950,0.8269,0.8662,0.7025,0.8780,0.7783,0.8218,0.8563,0.6627
exp_0165,0.0001,0.3,32,3,1.0,1.0,1,1e-05,5,300,50,scaffold,97.4128,88.5398,,83.4686,,165,True,2025-11-21 10:53:26,0.9754,0.9209,0.9255,0.9291,0.9117,0.9031,0.7937,0.8231,0.8491,0.7215,0.8686,0.7797,0.8198,0.8391,0.6917
exp_0032,0.001,0.3,512,3,0.1,0.01,1,0.0,3,300,50,scaffold,95.8951,85.8634,,81.9682,,137,True,2025-11-21 10:56:15,0.9614,0.8834,0.8851,0.8492,0.9217,0.8756,0.7785,0.7906,0.7397,0.8291,0.8452,0.7543,0.7856,0.7540,0.7547
exp_0039,0.001,0.3,32,3,0.01,1.0,1,0.0,5,300,50,scaffold,99.1219,88.6292,,84.3042,,59,True,2025-11-21 10:57:20,0.9921,0.9541,0.9561,0.9469,0.9621,0.8777,0.7882,0.8153,0.8273,0.7373,0.8804,0.7831,0.8209,0.8322,0.7104
exp_0196,0.0001,0.3,128,3,0.1,0.01,1,1e-05,5,300,50,scaffold,98.0758,88.0340,,83.0518,,284,True,2025-11-21 10:57:46,0.9830,0.9280,0.9310,0.9190,0.9379,0.9094,0.7950,0.8190,0.8200,0.7627,0.8663,0.7728,0.8123,0.8230,0.6985
exp_0020,0.001,0.3,512,3,0.1,1.0,1,0.0,3,300,50,scaffold,94.4235,85.8796,,81.8123,,100,True,2025-11-21 10:59:33,0.9482,0.8683,0.8739,0.8633,0.8738,0.8772,0.7813,0.7990,0.7689,0.7975,0.8427,0.7591,0.7937,0.7759,0.7342
exp_0191,0.0001,0.3,512,3,0.1,0.1,1,1e-05,5,300,50,scaffold,97.7117,87.7452,,82.5015,,500,False,2025-11-21 10:59:42,0.9799,0.9223,0.9262,0.9231,0.9213,0.9060,0.7923,0.8170,0.8200,0.7563,0.8624,0.7660,0.8059,0.8138,0.6951
exp_0193,0.0001,0.3,128,3,0.1,0.01,1,1e-05,3,300,50,scaffold,95.7806,86.9175,,83.7812,,411,True,2025-11-21 11:00:04,0.9576,0.8895,0.8940,0.8815,0.8984,0.8903,0.8047,0.8256,0.8175,0.7880,0.8681,0.7824,0.8139,0.7966,0.7615
